threat_id,adversary_or_event,knowledge_or_view,protected_goal,required_evidence,forbidden_shortcut,gate
V2-A1,Online guesser,"K0-K3; rate-limited Accept/Reject transcript","V2-G2 V2-G6 V2-G9","success@1/5/10/B; guesses-to-success; replay/context tests; stated rate limits","Random FAR alone or rate limiting as entropy",V2-C
V2-A2,Database snapshot attacker,"records plus public code/config; no live key service unless stated","V2-G3 V2-G4 V2-G5 V2-G7","record inventory; implemented candidate-validation/ranking attack and throughput; construction argument","Salted/hash/encrypted means no offline oracle",V2-E
V2-A3,Authentication-service compromise,"AS process state keys logs transcripts; PS absent where applicable","V2-G3-V2-G9","per-construction compromise table; malicious deviations; residual attack cost","Calling the server trusted or opaque",V2-E
V2-A4,Auxiliary-service/share compromise,"each party alone; all sub-threshold sets; collusion and threshold reached","V2-G3-V2-G8","separate and combined views; proof assumptions; failure/collusion tests","Non-collusion or isolation left implicit",V2-E
V2-A5,AI-assisted semantic guesser,"K1-K3 plus LLM/VLM/generator resources","V2-G2","frozen prompts/models/seeds/costs; baseline-relative budget curves; target/auxiliary separation","Model secrecy or anecdotal guesses",V2-C
V2-A6,Partial-target attacker,"K2 or K3 known nodes edges attributes counts or context","V2-G2","stratified known-information rules; budget curves and uncertainty","Reporting only conditional near FAR as total success",V2-C
V2-A7,Inversion/reconstruction attacker,"each record transcript helper policy and compromise view","V2-G3 V2-G5","semantic-attribute recovery; accepted-equivalent reconstruction; prior and simple baselines","No recovery in one attack means non-invertible",V2-E
V2-A8,Cross-service/account linker,"domain-scoped records and transcripts; same/different pairs with hard negatives","V2-G7","balanced linkage game; ROC/AUC or advantage with uncertainty; domain-separation analysis","Per-user salt alone means unlinkable",V2-E
V2-A9,Adaptive verification-oracle attacker,"chosen valid/malformed queries and prior outcomes","V2-G2 V2-G5 V2-G6","adaptive versus nonadaptive budget curves; policy-inference metric; timing/error audit","Accept/Reject automatically leaks one bit only",V2-C/V2-E
V2-A10,Replay/downgrade/context attacker,"captured sessions; alternate account service version","V2-G9","freshness and binding specification; replay cross-context and downgrade tests","Relying only on transport security",V2-D
V2-A11,Reference-function divergence,"valid boundary malformed duplicate and version inputs","V2-G10","differential/property tests against frozen plaintext predicate","Happy-path examples",V2-D
V2-A12,Total compromise,"all records services shares and required keys","V2-G8","explicit residual outcome and candidate-testing cost; narrow claim or no protection","Blanket full-compromise privacy",V2-E
